#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
3678000      3.85e-02      3.91e-04      1.53e-02    5.3e-06
3680000      1.84e-02      5.17e-04      7.42e-03    5.0e-06
3682000      7.86e-03      2.35e-04      3.11e-03    5.0e-06
3684000      9.95e-03      1.12e-03      3.14e-03    5.0e-06
3686000      1.80e-02      8.35e-04      7.07e-03    5.0e-06
3688000      6.66e-02      2.77e-03      2.66e-02    5.0e-06
3690000      1.31e-02      9.89e-04      4.84e-03    5.0e-06
3692000      1.08e-02      1.47e-03      2.84e-03    5.0e-06
3694000      2.87e-02      5.28e-04      1.17e-02    5.0e-06
3696000      3.14e-03      3.67e-04      4.65e-04    5.0e-06
3698000      4.20e-02      3.41e-03      1.57e-02    5.0e-06
3700000      4.02e-03      4.96e-04      2.76e-04    5.0e-06
3702000      6.02e-02      5.70e-04      2.45e-02    5.0e-06
3704000      1.33e-02      6.22e-04      5.22e-03    5.0e-06
3706000      9.72e-03      1.18e-03      2.88e-03    5.0e-06
3708000      4.21e-02      1.70e-03      1.67e-02    5.0e-06
3710000      8.35e-03      5.89e-04      2.82e-03    5.0e-06
3712000      6.19e-02      7.56e-03      2.03e-02    5.0e-06
3714000      9.76e-02      2.91e-03      3.93e-02    5.0e-06
3716000      7.05e-02      4.15e-03      2.75e-02    5.0e-06
3718000      5.03e-02      2.29e-03      2.00e-02    5.0e-06
3720000      9.02e-03      8.16e-04      2.61e-03    4.7e-06
3722000      1.05e-02      9.88e-04      2.89e-03    4.7e-06
3724000      8.66e-03      9.21e-04      1.92e-03    4.7e-06
3726000      2.16e-03      2.01e-04      6.05e-04    4.7e-06
3728000      6.81e-02      1.62e-03      2.83e-02    4.7e-06
3730000      3.56e-02      6.73e-04      1.48e-02    4.7e-06
3732000      1.33e-02      2.46e-04      5.55e-03    4.7e-06
3734000      9.72e-03      3.52e-04      3.89e-03    4.7e-06
3736000      8.36e-02      1.27e-03      3.47e-02    4.7e-06
3738000      2.58e-03      7.93e-05      1.05e-03    4.7e-06
3740000      3.97e-02      1.49e-03      1.62e-02    4.7e-06
3742000      7.76e-03      9.92e-04      2.25e-03    4.7e-06
3744000      7.70e-02      6.91e-04      3.21e-02    4.7e-06
3746000      8.38e-02      4.67e-03      3.32e-02    4.7e-06
3748000      3.84e-03      4.54e-04      5.31e-04    4.7e-06
3750000      3.05e-02      4.13e-04      1.27e-02    4.7e-06
3752000      4.05e-03      1.23e-04      1.64e-03    4.7e-06
3754000      9.28e-02      1.90e-03      3.85e-02    4.7e-06
3756000      5.27e-02      1.71e-04      2.20e-02    4.7e-06
3758000      4.49e-03      1.56e-04      1.80e-03    4.7e-06
3760000      2.33e-02      7.22e-04      9.82e-03    4.5e-06
3762000      8.43e-03      5.78e-04      3.02e-03    4.5e-06
3764000      5.32e-03      4.77e-04      1.59e-03    4.5e-06
3766000      4.66e-03      2.01e-04      1.87e-03    4.5e-06
3768000      5.11e-03      2.05e-04      2.07e-03    4.5e-06
3770000      9.81e-03      1.34e-03      2.67e-03    4.5e-06
3772000      3.71e-02      1.69e-03      1.53e-02    4.5e-06
3774000      5.93e-02      1.73e-03      2.47e-02    4.5e-06
3776000      1.03e-02      1.23e-03      3.26e-03    4.5e-06
3778000      1.37e-02      3.81e-04      5.78e-03    4.5e-06
3780000      1.15e-02      1.79e-03      2.40e-03    4.5e-06
3782000      1.65e-02      1.50e-03      4.85e-03    4.5e-06
3784000      1.97e-02      5.09e-04      8.34e-03    4.5e-06
3786000      7.95e-03      3.15e-04      3.32e-03    4.5e-06
3788000      2.23e-02      1.05e-04      9.55e-03    4.5e-06
3790000      1.19e-02      8.82e-04      4.61e-03    4.5e-06
3792000      1.46e-03      1.83e-05      6.21e-04    4.5e-06
3794000      3.45e-03      3.86e-04      6.61e-04    4.5e-06
3796000      2.13e-03      9.81e-05      8.48e-04    4.5e-06
3798000      2.32e-02      4.10e-04      9.85e-03    4.5e-06
3800000      3.52e-02      6.25e-04      1.52e-02    4.2e-06
3802000      6.14e-02      1.56e-03      2.64e-02    4.2e-06
3804000      3.76e-02      8.08e-04      1.64e-02    4.2e-06
3806000      7.55e-03      4.48e-04      2.91e-03    4.2e-06
3808000      1.99e-02      6.04e-04      8.47e-03    4.2e-06
3810000      7.47e-02      6.19e-03      2.99e-02    4.2e-06
3812000      8.70e-03      7.92e-04      2.62e-03    4.2e-06
3814000      1.90e-02      2.25e-03      6.17e-03    4.2e-06
3816000      7.36e-03      4.10e-04      2.89e-03    4.2e-06
3818000      3.47e-02      7.31e-04      1.50e-02    4.2e-06
3820000      1.87e-02      3.91e-06      8.20e-03    4.2e-06
3822000      8.33e-03      1.02e-03      2.63e-03    4.2e-06
3824000      7.24e-02      1.77e-03      3.14e-02    4.2e-06
3826000      4.50e-03      3.03e-04      1.82e-03    4.2e-06
3828000      9.25e-03      1.45e-04      4.02e-03    4.2e-06
3830000      4.68e-02      1.27e-03      2.03e-02    4.2e-06
3832000      9.02e-03      1.10e-03      8.35e-04    4.2e-06
3834000      9.04e-03      2.36e-04      3.87e-03    4.2e-06
3836000      1.20e-02      1.25e-03      4.24e-03    4.2e-06
3838000      1.13e-02      1.59e-03      3.00e-03    4.2e-06
3840000      9.35e-03      1.93e-04      4.14e-03    4.0e-06
3842000      1.29e-02      5.80e-04      5.42e-03    4.0e-06
3844000      3.70e-03      3.06e-04      1.25e-03    4.0e-06
3846000      3.55e-02      5.09e-04      1.58e-02    4.0e-06
3848000      3.61e-03      2.99e-04      1.21e-03    4.0e-06
3850000      5.44e-02      2.59e-03      2.37e-02    4.0e-06
3852000      8.17e-03      3.88e-04      3.39e-03    4.0e-06
3854000      2.25e-03      2.24e-05      1.01e-03    4.0e-06
3856000      5.53e-02      1.85e-03      2.39e-02    4.0e-06
3858000      5.84e-02      1.36e-03      2.60e-02    4.0e-06
3860000      2.94e-02      1.01e-03      1.29e-02    4.0e-06
3862000      8.00e-02      1.47e-03      3.57e-02    4.0e-06
3864000      5.18e-02      1.10e-03      2.31e-02    4.0e-06
3866000      6.53e-02      3.01e-03      2.72e-02    4.0e-06
3868000      2.78e-02      1.15e-03      1.22e-02    4.0e-06
3870000      6.88e-02      1.11e-03      3.07e-02    4.0e-06
3872000      4.20e-02      1.50e-03      1.85e-02    4.0e-06
3874000      1.00e-02      4.08e-04      4.25e-03    4.0e-06
3876000      1.71e-02      1.37e-03      6.84e-03    4.0e-06
3878000      1.71e-02      1.61e-04      7.65e-03    4.0e-06
3880000      1.19e-02      7.11e-04      4.80e-03    3.8e-06
3882000      1.57e-02      3.64e-04      7.09e-03    3.8e-06
3884000      5.22e-03      6.47e-05      2.39e-03    3.8e-06
3886000      1.41e-02      3.11e-04      6.42e-03    3.8e-06
3888000      7.61e-02      2.71e-03      3.44e-02    3.8e-06
3890000      1.77e-03      1.11e-04      7.03e-04    3.8e-06
3892000      7.32e-02      2.47e-03      3.31e-02    3.8e-06
3894000      4.38e-03      2.34e-04      1.81e-03    3.8e-06
3896000      7.24e-03      3.97e-04      3.16e-03    3.8e-06
3898000      1.32e-02      1.19e-03      4.16e-03    3.8e-06
3900000      3.37e-03      1.55e-04      1.44e-03    3.8e-06
3902000      1.50e-02      6.61e-04      6.46e-03    3.8e-06
3904000      2.11e-02      1.10e-03      9.35e-03    3.8e-06
3906000      1.47e-02      1.60e-03      5.30e-03    3.8e-06
3908000      6.03e-02      1.18e-03      2.75e-02    3.8e-06
3910000      2.75e-02      3.28e-03      1.03e-02    3.8e-06
3912000      5.94e-02      3.67e-04      2.72e-02    3.8e-06
3914000      8.00e-03      3.93e-04      3.38e-03    3.8e-06
3916000      5.82e-02      3.18e-03      2.54e-02    3.8e-06
3918000      1.05e-02      8.28e-04      4.32e-03    3.8e-06
3920000      5.54e-02      3.34e-03      2.44e-02    3.5e-06
3922000      2.42e-02      3.65e-04      1.13e-02    3.5e-06
3924000      1.62e-02      2.73e-03      4.31e-03    3.5e-06
3926000      6.14e-03      1.30e-04      2.84e-03    3.5e-06
3928000      4.12e-03      3.64e-04      1.37e-03    3.5e-06
3930000      3.19e-03      5.88e-05      1.48e-03    3.5e-06
3932000      4.53e-03      5.93e-04      1.43e-03    3.5e-06
3934000      5.74e-02      1.33e-03      2.68e-02    3.5e-06
3936000      5.65e-02      1.82e-03      2.62e-02    3.5e-06
3938000      3.62e-02      3.95e-03      1.34e-02    3.5e-06
3940000      5.30e-02      2.62e-04      2.48e-02    3.5e-06
3942000      5.53e-03      2.33e-04      2.52e-03    3.5e-06
3944000      5.17e-02      1.20e-03      2.38e-02    3.5e-06
3946000      7.85e-03      2.64e-04      3.55e-03    3.5e-06
3948000      3.04e-02      8.68e-04      1.41e-02    3.5e-06
3950000      2.31e-03      1.96e-04      7.96e-04    3.5e-06
3952000      7.78e-02      1.68e-03      3.59e-02    3.5e-06
3954000      1.17e-02      1.27e-03      4.35e-03    3.5e-06
3956000      1.09e-03      1.17e-04      2.63e-04    3.5e-06
3958000      1.14e-02      1.15e-03      4.40e-03    3.5e-06
3960000      5.96e-02      1.65e-03      2.82e-02    3.3e-06
3962000      1.88e-03      2.80e-04      4.86e-04    3.3e-06
3964000      2.85e-03      3.49e-04      9.88e-04    3.3e-06
3966000      2.66e-02      1.43e-03      1.22e-02    3.3e-06
3968000      9.69e-03      4.18e-04      4.51e-03    3.3e-06
3970000      5.61e-02      9.93e-04      2.66e-02    3.3e-06
3972000      6.69e-03      7.64e-04      1.32e-03    3.3e-06
3974000      2.46e-03      7.93e-05      1.14e-03    3.3e-06
3976000      1.01e-02      7.63e-04      4.40e-03    3.3e-06
3978000      6.92e-02      1.94e-03      3.29e-02    3.3e-06
3980000      2.71e-02      3.29e-04      1.30e-02    3.3e-06
3982000      5.90e-02      2.28e-03      2.76e-02    3.3e-06
3984000      3.49e-03      3.57e-04      1.37e-03    3.3e-06
3986000      3.18e-03      2.15e-04      1.28e-03    3.3e-06
3988000      5.41e-02      2.08e-03      2.55e-02    3.3e-06
3990000      2.28e-03      2.43e-04      5.78e-04    3.3e-06
3992000      9.52e-02      4.02e-03      4.44e-02    3.3e-06
3994000      4.37e-02      2.02e-03      2.02e-02    3.3e-06
3996000      2.65e-02      2.78e-03      1.09e-02    3.3e-06
3998000      3.80e-02      1.29e-03      1.79e-02    3.3e-06
4000000      5.07e-03      4.37e-04      1.80e-03    3.2e-06
4002000      4.67e-02      1.43e-03      2.22e-02    3.2e-06
4004000      6.87e-02      1.72e-03      3.34e-02    3.2e-06
4006000      5.13e-02      1.37e-03      2.46e-02    3.2e-06
4008000      8.47e-03      1.13e-03      2.73e-03    3.2e-06
4010000      2.24e-02      5.92e-04      1.09e-02    3.2e-06
4012000      5.27e-02      2.68e-03      2.48e-02    3.2e-06
4014000      5.53e-02      6.54e-04      2.70e-02    3.2e-06
4016000      1.02e-02      9.11e-04      3.53e-03    3.2e-06
4018000      6.76e-02      3.01e-03      3.10e-02    3.2e-06
4020000      1.40e-03      1.61e-04      2.65e-04    3.2e-06
4022000      1.07e-02      1.29e-03      3.84e-03    3.2e-06
4024000      1.06e-02      9.93e-04      4.42e-03    3.2e-06
4026000      7.26e-03      5.79e-04      2.74e-03    3.2e-06
4028000      1.99e-02      1.30e-03      9.07e-03    3.2e-06
4030000      8.91e-03      6.82e-04      3.94e-03    3.2e-06
4032000      9.73e-03      1.01e-03      3.87e-03    3.2e-06
4034000      5.02e-02      9.85e-04      2.44e-02    3.2e-06
4036000      4.76e-03      1.67e-04      2.24e-03    3.2e-06
4038000      3.07e-02      9.48e-04      1.48e-02    3.2e-06
4040000      6.98e-03      7.04e-05      3.49e-03    3.0e-06
4042000      1.67e-03      1.38e-04      6.25e-04    3.0e-06
4044000      6.43e-03      1.76e-04      3.14e-03    3.0e-06
4046000      5.45e-03      6.00e-04      1.30e-03    3.0e-06
4048000      1.18e-02      9.46e-04      5.26e-03    3.0e-06
4050000      1.44e-02      1.18e-04      7.19e-03    3.0e-06
4052000      5.50e-02      1.22e-03      2.73e-02    3.0e-06
4054000      8.97e-03      6.79e-04      4.06e-03    3.0e-06
4056000      4.89e-03      7.80e-05      2.44e-03    3.0e-06
4058000      2.79e-02      7.58e-04      1.38e-02    3.0e-06
4060000      1.93e-03      7.49e-05      9.18e-04    3.0e-06
4062000      5.47e-02      1.02e-03      2.71e-02    3.0e-06
4064000      2.00e-02      3.18e-04      9.94e-03    3.0e-06
4066000      5.21e-02      1.85e-03      2.51e-02    3.0e-06
4068000      1.08e-02      3.04e-04      5.34e-03    3.0e-06
4070000      5.67e-02      1.87e-03      2.74e-02    3.0e-06
4072000      1.06e-02      9.78e-04      4.54e-03    3.0e-06
4074000      1.48e-02      4.49e-04      7.21e-03    3.0e-06
4076000      2.26e-02      4.27e-04      1.12e-02    3.0e-06
4078000      8.15e-03      6.36e-04      3.19e-03    3.0e-06
4080000      2.54e-02      5.66e-04      1.29e-02    2.8e-06
4082000      4.40e-02      8.33e-04      2.24e-02    2.8e-06
4084000      7.69e-03      9.77e-04      2.74e-03    2.8e-06
4086000      1.78e-03      1.50e-04      6.75e-04    2.8e-06
4088000      5.28e-02      2.25e-03      2.62e-02    2.8e-06
4090000      4.30e-03      2.50e-04      1.95e-03    2.8e-06
4092000      7.30e-02      4.21e-03      3.53e-02    2.8e-06
4094000      3.64e-02      7.24e-04      1.85e-02    2.8e-06
4096000      9.33e-03      1.12e-03      3.51e-03    2.8e-06
4098000      5.09e-02      1.45e-03      2.54e-02    2.8e-06
4100000      5.85e-02      2.22e-03      2.93e-02    2.8e-06
4102000      4.24e-02      2.20e-03      2.07e-02    2.8e-06
4104000      1.56e-02      1.84e-03      5.96e-03    2.8e-06
4106000      9.23e-03      5.98e-04      4.40e-03    2.8e-06
4108000      3.97e-02      1.74e-03      1.97e-02    2.8e-06
4110000      1.36e-02      4.26e-04      6.87e-03    2.8e-06
4112000      2.49e-03      2.32e-04      8.50e-04    2.8e-06
4114000      8.36e-03      1.93e-04      4.24e-03    2.8e-06
4116000      5.99e-03      3.93e-04      2.85e-03    2.8e-06
4118000      6.29e-03      4.53e-04      2.64e-03    2.8e-06
4120000      5.62e-03      1.88e-04      2.83e-03    2.7e-06
4122000      5.92e-02      4.94e-03      2.73e-02    2.7e-06
4124000      1.40e-02      6.32e-04      6.82e-03    2.7e-06
4126000      1.22e-02      5.08e-04      6.21e-03    2.7e-06
4128000      4.96e-02      8.97e-04      2.57e-02    2.7e-06
4130000      2.89e-03      3.47e-04      4.20e-04    2.7e-06
4132000      5.99e-02      2.45e-03      3.05e-02    2.7e-06
4134000      3.08e-03      2.11e-04      1.35e-03    2.7e-06
4136000      4.83e-02      3.40e-03      2.37e-02    2.7e-06
4138000      9.50e-03      3.90e-04      4.69e-03    2.7e-06
4140000      5.86e-02      3.34e-04      3.06e-02    2.7e-06
4142000      8.09e-03      5.40e-04      3.92e-03    2.7e-06
4144000      8.29e-03      3.73e-04      4.19e-03    2.7e-06
4146000      2.51e-03      2.84e-04      5.57e-04    2.7e-06
4148000      1.03e-02      9.27e-04      4.66e-03    2.7e-06
4150000      3.00e-03      3.22e-04      8.12e-04    2.7e-06
4152000      1.34e-02      1.53e-03      5.31e-03    2.7e-06
4154000      4.90e-02      1.70e-03      2.46e-02    2.7e-06
4156000      8.52e-03      9.00e-04      3.57e-03    2.7e-06
4158000      1.33e-02      1.05e-03      6.21e-03    2.7e-06
4160000      1.17e-02      7.75e-04      5.28e-03    2.5e-06
4162000      7.11e-03      7.80e-04      2.98e-03    2.5e-06
4164000      1.35e-02      1.32e-03      6.02e-03    2.5e-06
4166000      1.40e-02      7.65e-05      7.45e-03    2.5e-06
4168000      1.28e-02      8.82e-05      6.81e-03    2.5e-06
4170000      3.36e-03      3.65e-04      8.91e-04    2.5e-06
4172000      2.91e-02      1.32e-03      1.50e-02    2.5e-06
4174000      5.14e-03      2.09e-04      2.59e-03    2.5e-06
4176000      3.06e-02      3.72e-03      1.31e-02    2.5e-06
4178000      4.37e-03      4.65e-05      2.33e-03    2.5e-06
4180000      5.59e-03      5.86e-04      2.40e-03    2.5e-06
4182000      5.13e-02      1.64e-03      2.69e-02    2.5e-06
4184000      2.68e-02      1.69e-03      1.34e-02    2.5e-06
4186000      2.52e-02      9.33e-04      1.32e-02    2.5e-06
4188000      5.43e-02      1.15e-03      2.88e-02    2.5e-06
4190000      3.73e-03      3.04e-04      1.77e-03    2.5e-06
4192000      1.47e-02      4.36e-04      7.61e-03    2.5e-06
4194000      4.64e-02      2.01e-03      2.40e-02    2.5e-06
4196000      7.39e-03      7.26e-04      2.45e-03    2.5e-06
4198000      1.91e-02      5.63e-04      1.00e-02    2.5e-06
4200000      4.82e-02      9.25e-04      2.59e-02    2.4e-06
4202000      5.48e-02      1.36e-03      2.93e-02    2.4e-06
4204000      1.13e-02      1.44e-03      4.24e-03    2.4e-06
4206000      6.59e-02      3.99e-03      3.14e-02    2.4e-06
4208000      1.84e-02      3.44e-04      9.95e-03    2.4e-06
4210000      3.44e-02      1.77e-03      1.81e-02    2.4e-06
4212000      5.86e-02      1.39e-03      3.16e-02    2.4e-06
4214000      6.80e-03      5.57e-04      3.29e-03    2.4e-06
4216000      1.82e-02      4.02e-04      9.85e-03    2.4e-06
4218000      6.55e-02      4.38e-03      3.31e-02    2.4e-06
4220000      4.84e-02      3.81e-03      2.36e-02    2.4e-06
4222000      4.06e-03      1.83e-04      2.06e-03    2.4e-06
4224000      6.97e-03      9.00e-04      2.60e-03    2.4e-06
4226000      2.54e-02      2.47e-03      1.22e-02    2.4e-06
4228000      8.83e-03      3.39e-04      4.58e-03    2.4e-06
4230000      4.64e-02      5.64e-04      2.52e-02    2.4e-06
4232000      1.46e-02      1.16e-04      7.92e-03    2.4e-06
4234000      4.27e-03      5.39e-04      1.63e-03    2.4e-06
4236000      4.08e-03      6.79e-05      2.20e-03    2.4e-06
4238000      6.98e-03      4.16e-04      3.58e-03    2.4e-06
4240000      4.89e-02      8.41e-04      2.69e-02    2.2e-06
4242000      1.29e-02      7.10e-04      6.81e-03    2.2e-06
4244000      6.58e-03      6.50e-04      3.03e-03    2.2e-06
4246000      5.22e-03      1.91e-04      2.78e-03    2.2e-06
4248000      5.12e-03      6.96e-05      2.84e-03    2.2e-06
4250000      5.10e-03      6.08e-04      2.09e-03    2.2e-06
4252000      5.84e-03      5.21e-04      2.81e-03    2.2e-06
4254000      4.90e-02      2.97e-03      2.60e-02    2.2e-06
4256000      3.95e-03      3.88e-04      1.83e-03    2.2e-06
4258000      1.22e-02      1.94e-05      6.76e-03    2.2e-06
4260000      1.10e-02      4.67e-04      5.92e-03    2.2e-06
4262000      5.02e-02      1.72e-03      2.69e-02    2.2e-06
4264000      8.79e-03      8.51e-04      4.09e-03    2.2e-06
4266000      8.68e-03      6.91e-04      3.72e-03    2.2e-06
4268000      3.87e-03      1.90e-05      2.15e-03    2.2e-06
4270000      3.53e-02      2.10e-03      1.88e-02    2.2e-06
4272000      1.23e-02      3.03e-04      6.73e-03    2.2e-06
4274000      6.77e-03      5.40e-04      2.90e-03    2.2e-06
4276000      2.15e-02      3.46e-04      1.19e-02    2.2e-06
4278000      2.41e-02      1.33e-03      1.29e-02    2.2e-06
4280000      1.08e-02      6.13e-04      5.48e-03    2.1e-06
4282000      3.21e-02      1.81e-03      1.73e-02    2.1e-06
4284000      8.34e-03      5.30e-04      4.07e-03    2.1e-06
4286000      4.58e-03      1.38e-04      2.56e-03    2.1e-06
4288000      2.82e-02      8.99e-04      1.57e-02    2.1e-06
4290000      3.24e-02      2.19e-03      1.70e-02    2.1e-06
4292000      4.79e-02      2.11e-03      2.54e-02    2.1e-06
4294000      3.12e-03      3.46e-04      8.15e-04    2.1e-06
4296000      5.25e-02      2.99e-03      2.86e-02    2.1e-06
4298000      3.03e-02      4.28e-03      1.24e-02    2.1e-06
4300000      6.14e-02      9.32e-04      3.47e-02    2.1e-06
4302000      9.86e-03      5.44e-04      5.31e-03    2.1e-06
4304000      3.96e-02      4.32e-03      1.90e-02    2.1e-06
4306000      7.85e-02      4.21e-03      4.24e-02    2.1e-06
4308000      1.93e-02      6.08e-04      1.06e-02    2.1e-06
4310000      5.30e-02      2.61e-03      2.92e-02    2.1e-06
4312000      3.80e-03      6.97e-05      2.13e-03    2.1e-06
4314000      4.18e-03      2.49e-05      2.37e-03    2.1e-06
4316000      3.53e-02      1.96e-04      2.00e-02    2.1e-06
4318000      5.32e-03      3.30e-04      2.83e-03    2.1e-06
4320000      6.41e-03      2.37e-04      3.54e-03    2.0e-06
4322000      2.28e-02      4.72e-04      1.30e-02    2.0e-06
4324000      4.26e-03      1.90e-04      2.30e-03    2.0e-06
4326000      5.36e-03      6.32e-04      1.04e-03    2.0e-06
4328000      1.36e-02      1.09e-03      7.03e-03    2.0e-06
4330000      1.99e-02      2.46e-03      9.15e-03    2.0e-06
4332000      9.62e-03      1.52e-03      2.52e-03    2.0e-06
4334000      1.96e-02      3.31e-04      1.13e-02    2.0e-06
4336000      2.79e-02      6.34e-05      1.61e-02    2.0e-06
4338000      1.22e-02      6.74e-04      6.67e-03    2.0e-06
4340000      6.50e-03      7.14e-04      1.80e-03    2.0e-06
4342000      6.79e-03      8.43e-04      2.79e-03    2.0e-06
4344000      6.15e-02      6.27e-03      2.91e-02    2.0e-06
4346000      5.76e-03      3.53e-04      3.12e-03    2.0e-06
4348000      6.45e-02      1.87e-04      3.73e-02    2.0e-06
4350000      5.73e-03      1.23e-04      3.26e-03    2.0e-06
4352000      1.33e-02      8.48e-05      7.70e-03    2.0e-06
4354000      6.81e-03      2.40e-04      3.78e-03    2.0e-06
4356000      1.61e-03      1.11e-04      7.78e-04    2.0e-06
4358000      6.89e-03      5.58e-04      3.54e-03    2.0e-06
4360000      2.74e-02      2.90e-04      1.61e-02    1.9e-06
4362000      7.22e-03      3.63e-04      4.08e-03    1.9e-06
4364000      2.20e-02      8.55e-04      1.26e-02    1.9e-06
4366000      7.85e-03      6.39e-04      4.10e-03    1.9e-06
4368000      4.04e-02      3.84e-03      2.00e-02    1.9e-06
4370000      4.13e-02      1.08e-03      2.40e-02    1.9e-06
4372000      2.71e-02      2.76e-04      1.59e-02    1.9e-06
4374000      3.16e-03      1.47e-04      1.73e-03    1.9e-06
4376000      3.71e-03      3.29e-04      1.54e-03    1.9e-06
4378000      2.02e-02      6.70e-04      1.15e-02    1.9e-06
4380000      6.61e-03      3.46e-04      3.72e-03    1.9e-06
4382000      3.94e-02      2.79e-03      2.13e-02    1.9e-06
4384000      2.60e-02      2.79e-04      1.53e-02    1.9e-06
4386000      1.47e-03      9.43e-05      8.05e-04    1.9e-06
4388000      7.98e-02      6.34e-03      4.20e-02    1.9e-06
4390000      5.46e-03      4.01e-04      2.60e-03    1.9e-06
4392000      1.48e-02      1.17e-04      8.70e-03    1.9e-06
4394000      5.24e-02      1.96e-03      2.94e-02    1.9e-06
4396000      2.51e-02      2.94e-03      1.21e-02    1.9e-06
4398000      6.19e-02      4.24e-03      3.36e-02    1.9e-06
4400000      2.53e-02      3.35e-04      1.51e-02    1.8e-06
4402000      3.23e-02      5.18e-03      1.20e-02    1.8e-06
4404000      2.40e-02      3.15e-04      1.43e-02    1.8e-06
4406000      5.99e-03      1.92e-04      3.53e-03    1.8e-06
4408000      5.91e-03      5.98e-04      2.91e-03    1.8e-06
4410000      1.16e-02      7.69e-04      5.89e-03    1.8e-06
4412000      3.56e-02      2.05e-03      2.05e-02    1.8e-06
4414000      1.42e-02      2.16e-05      8.55e-03    1.8e-06
4416000      6.49e-03      6.14e-05      3.89e-03    1.8e-06
4418000      3.06e-02      1.53e-03      1.76e-02    1.8e-06
4420000      3.94e-03      2.33e-04      2.09e-03    1.8e-06
4422000      1.15e-03      2.28e-06      6.87e-04    1.8e-06
4424000      6.51e-03      2.91e-04      3.78e-03    1.8e-06
4426000      5.63e-03      1.01e-04      3.35e-03    1.8e-06
4428000      1.92e-02      2.07e-04      1.15e-02    1.8e-06
4430000      7.52e-03      7.11e-04      2.96e-03    1.8e-06
4432000      4.56e-03      9.96e-05      2.70e-03    1.8e-06
4434000      3.92e-03      4.62e-04      7.93e-04    1.8e-06
4436000      2.04e-02      2.64e-03      9.47e-03    1.8e-06
4438000      4.96e-02      2.27e-03      2.87e-02    1.8e-06
4440000      5.01e-02      5.89e-04      3.05e-02    1.7e-06
4442000      7.28e-03      3.37e-04      4.29e-03    1.7e-06
4444000      2.30e-03      2.27e-04      8.64e-04    1.7e-06
4446000      1.19e-02      1.59e-03      4.80e-03    1.7e-06
4448000      1.06e-02      6.22e-04      6.08e-03    1.7e-06
4450000      5.10e-02      2.24e-03      3.02e-02    1.7e-06
4452000      3.15e-03      3.20e-04      1.58e-03    1.7e-06
4454000      6.93e-03      6.48e-04      3.60e-03    1.7e-06
4456000      1.09e-02      4.11e-05      6.64e-03    1.7e-06
4458000      6.91e-03      7.33e-04      2.24e-03    1.7e-06
4460000      7.69e-03      6.94e-04      4.05e-03    1.7e-06
4462000      3.07e-02      1.76e-03      1.77e-02    1.7e-06
4464000      2.12e-02      1.82e-04      1.29e-02    1.7e-06
4466000      2.35e-03      2.16e-04      9.72e-04    1.7e-06
4468000      9.06e-03      7.31e-04      4.23e-03    1.7e-06
4470000      4.49e-03      3.06e-04      2.53e-03    1.7e-06
4472000      2.50e-02      2.19e-04      1.53e-02    1.7e-06
4474000      4.67e-03      5.51e-04      9.52e-04    1.7e-06
4476000      7.53e-03      5.18e-04      4.24e-03    1.7e-06
4478000      7.35e-03      6.36e-05      4.48e-03    1.7e-06
4480000      1.76e-03      4.41e-05      1.07e-03    1.6e-06
4482000      4.59e-03      4.04e-04      2.47e-03    1.6e-06
4484000      9.17e-03      9.38e-04      4.65e-03    1.6e-06
4486000      7.39e-03      3.32e-04      4.45e-03    1.6e-06
4488000      3.59e-03      4.74e-05      2.22e-03    1.6e-06
4490000      1.43e-02      2.23e-04      8.85e-03    1.6e-06
4492000      3.39e-03      1.47e-04      1.98e-03    1.6e-06
4494000      4.27e-02      5.32e-04      2.65e-02    1.6e-06
4496000      4.66e-03      4.00e-04      2.11e-03    1.6e-06
4498000      7.82e-03      5.97e-04      3.85e-03    1.6e-06
4500000      8.83e-03      9.21e-04      3.04e-03    1.6e-06
4502000      5.28e-02      3.14e-03      3.14e-02    1.6e-06
4504000      7.73e-03      7.28e-04      4.07e-03    1.6e-06
4506000      5.48e-02      6.70e-04      3.40e-02    1.6e-06
4508000      2.66e-03      1.15e-04      1.55e-03    1.6e-06
4510000      5.13e-02      2.14e-03      3.10e-02    1.6e-06
4512000      5.36e-03      5.99e-04      2.59e-03    1.6e-06
4514000      6.70e-03      1.02e-03      2.13e-03    1.6e-06
4516000      7.25e-03      4.42e-04      3.94e-03    1.6e-06
4518000      4.53e-02      9.67e-04      2.80e-02    1.6e-06
4520000      1.90e-02      2.25e-03      9.77e-03    1.5e-06
4522000      1.48e-02      1.75e-03      6.93e-03    1.5e-06
4524000      2.30e-02      6.25e-04      1.42e-02    1.5e-06
4526000      2.53e-02      2.75e-03      1.35e-02    1.5e-06
4528000      2.05e-03      2.27e-05      1.29e-03    1.5e-06
4530000      5.31e-03      3.22e-04      2.94e-03    1.5e-06
4532000      2.29e-02      7.71e-04      1.42e-02    1.5e-06
4534000      7.38e-03      2.25e-05      4.67e-03    1.5e-06
4536000      3.83e-03      5.11e-04      1.60e-03    1.5e-06
4538000      3.17e-02      4.81e-03      1.35e-02    1.5e-06
4540000      4.80e-02      6.59e-03      2.25e-02    1.5e-06
4542000      1.05e-02      7.48e-04      6.11e-03    1.5e-06
4544000      4.46e-02      2.18e-03      2.72e-02    1.5e-06
4546000      2.54e-02      5.66e-04      1.60e-02    1.5e-06
4548000      4.83e-02      2.61e-03      2.76e-02    1.5e-06
