#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 518000      1.01e-01      1.76e-02      6.70e-04    5.0e-04
 520000      3.37e-01      5.82e-03      1.55e-02    4.7e-04
 522000      5.94e-01      5.05e-04      2.73e-02    4.7e-04
 524000      1.26e-01      1.29e-02      4.66e-03    4.7e-04
 526000      3.83e-02      6.42e-03      3.74e-04    4.7e-04
 528000      1.38e-01      1.44e-02      5.06e-03    4.7e-04
 530000      5.94e-01      1.24e-03      2.73e-02    4.7e-04
 532000      8.44e-01      1.47e-02      3.87e-02    4.7e-04
 534000      1.42e-01      3.78e-03      6.50e-03    4.7e-04
 536000      2.12e-01      2.18e-03      9.73e-03    4.7e-04
 538000      5.70e-02      6.24e-03      2.34e-03    4.7e-04
 540000      3.62e-01      2.11e-02      1.56e-02    4.7e-04
 542000      2.11e-01      3.27e-02      4.12e-03    4.7e-04
 544000      1.47e-01      2.07e-02      3.89e-03    4.7e-04
 546000      7.91e-01      3.51e-03      3.64e-02    4.7e-04
 548000      6.07e-01      6.05e-04      2.79e-02    4.7e-04
 550000      5.13e-01      2.29e-02      2.32e-02    4.7e-04
 552000      9.72e-02      7.82e-03      4.21e-03    4.7e-04
 554000      7.41e-01      8.37e-02      3.01e-02    4.7e-04
 556000      8.17e-01      1.42e-02      3.74e-02    4.7e-04
 558000      1.66e-01      2.59e-02      3.18e-03    4.7e-04
 560000      2.32e-01      4.15e-03      1.09e-02    4.5e-04
 562000      3.32e-01      6.62e-02      8.47e-03    4.5e-04
 564000      1.65e-01      4.87e-03      7.70e-03    4.5e-04
 566000      4.55e-02      6.27e-03      1.22e-03    4.5e-04
 568000      8.07e-01      1.39e-02      3.81e-02    4.5e-04
 570000      1.56e-01      5.39e-03      7.23e-03    4.5e-04
 572000      1.14e-01      1.94e-03      5.35e-03    4.5e-04
 574000      4.95e-01      7.79e-03      2.33e-02    4.5e-04
 576000      4.13e-01      8.77e-03      1.94e-02    4.5e-04
 578000      6.34e-01      1.73e-02      2.98e-02    4.5e-04
 580000      7.36e-02      5.24e-03      3.15e-03    4.5e-04
 582000      6.65e-01      3.15e-02      3.10e-02    4.5e-04
 584000      1.10e-01      1.80e-03      5.20e-03    4.5e-04
 586000      3.22e-02      1.75e-03      1.48e-03    4.5e-04
 588000      2.34e-01      2.83e-02      9.50e-03    4.5e-04
 590000      5.89e-01      4.83e-03      2.78e-02    4.5e-04
 592000      4.12e-02      6.15e-03      8.87e-04    4.5e-04
 594000      2.10e-01      3.24e-03      9.88e-03    4.5e-04
 596000      6.65e-01      4.47e-03      3.14e-02    4.5e-04
 598000      2.42e-01      5.24e-02      4.68e-03    4.5e-04
 600000      9.66e-02      1.20e-02      3.07e-03    4.2e-04
 602000      6.15e-01      1.03e-02      2.99e-02    4.2e-04
 604000      5.71e-01      3.48e-03      2.78e-02    4.2e-04
 606000      4.56e-02      6.70e-03      1.71e-03    4.2e-04
 608000      4.25e-01      2.22e-02      2.01e-02    4.2e-04
 610000      3.21e-01      2.56e-02      1.49e-02    4.2e-04
 612000      5.61e-02      2.86e-03      2.60e-03    4.2e-04
 614000      5.56e-01      1.22e-01      8.80e-03    4.2e-04
 616000      1.17e-01      1.69e-02      4.45e-03    4.2e-04
 618000      5.35e-01      8.75e-02      1.61e-03    4.2e-04
 620000      1.25e-01      2.97e-03      6.01e-03    4.2e-04
 622000      8.95e-01      2.21e-02      4.33e-02    4.2e-04
 624000      1.02e-01      2.97e-03      4.91e-03    4.2e-04
 626000      1.23e-01      2.19e-03      5.97e-03    4.2e-04
 628000      7.90e-01      1.44e-02      3.83e-02    4.2e-04
 630000      7.98e-01      3.71e-03      3.88e-02    4.2e-04
 632000      5.35e-01      1.89e-02      2.58e-02    4.2e-04
 634000      7.31e-02      4.55e-03      3.43e-03    4.2e-04
 636000      4.18e-01      6.70e-02      4.27e-03    4.2e-04
 638000      5.84e-01      1.38e-02      2.83e-02    4.2e-04
 640000      4.36e-01      9.09e-04      2.18e-02    4.0e-04
 642000      8.56e-02      1.35e-02      3.08e-03    4.0e-04
 644000      3.35e-02      3.45e-03      1.28e-03    4.0e-04
 646000      1.36e-01      2.13e-03      6.79e-03    4.0e-04
 648000      2.91e-01      1.42e-02      1.42e-02    4.0e-04
 650000      3.70e-01      2.31e-03      1.85e-02    4.0e-04
 652000      1.01e-01      1.78e-03      5.03e-03    4.0e-04
 654000      1.64e-01      1.97e-02      5.42e-03    4.0e-04
 656000      8.97e-02      6.72e-03      4.24e-03    4.0e-04
 658000      2.88e-01      9.82e-03      1.43e-02    4.0e-04
 660000      1.40e-01      1.84e-02      4.01e-03    4.0e-04
 662000      7.02e-01      4.26e-03      3.51e-02    4.0e-04
 664000      7.82e-02      5.90e-03      3.70e-03    4.0e-04
 666000      1.23e-01      1.61e-02      3.60e-03    4.0e-04
 668000      1.25e-01      1.39e-02      4.53e-03    4.0e-04
 670000      2.71e-02      7.46e-04      1.34e-03    4.0e-04
 672000      4.99e-01      5.11e-03      2.50e-02    4.0e-04
 674000      1.21e-01      1.32e-02      5.33e-03    4.0e-04
 676000      8.00e-02      4.16e-03      3.90e-03    4.0e-04
 678000      7.92e-02      6.77e-03      3.36e-03    4.0e-04
 680000      7.46e-01      1.92e-02      3.79e-02    3.8e-04
 682000      2.27e-01      1.03e-02      1.12e-02    3.8e-04
 684000      6.00e-01      3.67e-02      2.85e-02    3.8e-04
 686000      2.58e-01      3.60e-02      1.04e-02    3.8e-04
 688000      3.03e-01      1.91e-04      1.56e-02    3.8e-04
 690000      2.19e-01      2.96e-02      9.02e-03    3.8e-04
 692000      2.81e-01      3.69e-02      1.17e-02    3.8e-04
 694000      7.34e-02      2.55e-03      3.74e-03    3.8e-04
 696000      7.63e-01      2.63e-02      3.89e-02    3.8e-04
 698000      2.14e-01      2.06e-02      8.72e-03    3.8e-04
 700000      2.66e-01      1.33e-02      1.34e-02    3.8e-04
 702000      9.93e-02      9.02e-03      4.67e-03    3.8e-04
 704000      4.05e-01      7.74e-03      2.08e-02    3.8e-04
 706000      4.71e-01      5.40e-03      2.42e-02    3.8e-04
 708000      3.72e-02      4.35e-03      1.63e-03    3.8e-04
 710000      2.38e-01      1.79e-02      1.15e-02    3.8e-04
 712000      1.21e-01      5.34e-03      6.12e-03    3.8e-04
 714000      1.35e-01      1.91e-02      3.07e-03    3.8e-04
 716000      5.99e-01      1.27e-02      3.07e-02    3.8e-04
 718000      4.84e-01      9.85e-03      2.47e-02    3.8e-04
 720000      1.10e-01      1.34e-02      4.87e-03    3.5e-04
 722000      2.48e-01      3.71e-02      3.46e-03    3.5e-04
 724000      8.84e-02      4.79e-03      4.54e-03    3.5e-04
 726000      1.21e-01      9.97e-03      5.47e-03    3.5e-04
 728000      1.29e-01      1.21e-02      6.19e-03    3.5e-04
 730000      7.63e-02      9.78e-03      2.28e-03    3.5e-04
 732000      9.12e-02      1.10e-02      4.03e-03    3.5e-04
 734000      5.64e-01      8.29e-03      2.99e-02    3.5e-04
 736000      7.87e-02      5.62e-04      4.17e-03    3.5e-04
 738000      1.30e-01      1.43e-02      5.94e-03    3.5e-04
 740000      1.26e-01      1.64e-03      6.69e-03    3.5e-04
 742000      2.22e-01      1.76e-03      1.18e-02    3.5e-04
 744000      3.47e-01      8.15e-04      1.84e-02    3.5e-04
 746000      1.37e-01      9.75e-03      6.87e-03    3.5e-04
 748000      7.09e-02      3.16e-03      3.68e-03    3.5e-04
 750000      5.05e-01      2.88e-03      2.68e-02    3.5e-04
 752000      5.08e-01      2.95e-03      2.69e-02    3.5e-04
 754000      1.78e-01      1.29e-02      8.91e-03    3.5e-04
 756000      5.42e-02      8.07e-03      8.08e-04    3.5e-04
 758000      5.73e-01      1.67e-02      2.98e-02    3.5e-04
 760000      5.24e-01      3.09e-03      2.86e-02    3.3e-04
 762000      1.20e-01      4.55e-03      6.47e-03    3.3e-04
 764000      2.87e-01      1.47e-02      1.48e-02    3.3e-04
 766000      1.76e-01      3.97e-03      9.52e-03    3.3e-04
 768000      1.19e-01      1.72e-02      4.80e-03    3.3e-04
 770000      2.25e-01      1.38e-02      1.18e-02    3.3e-04
 772000      4.98e-02      6.28e-03      2.21e-03    3.3e-04
 774000      6.21e-01      4.47e-03      3.39e-02    3.3e-04
 776000      1.86e-01      2.61e-02      7.71e-03    3.3e-04
 778000      1.50e-01      9.72e-04      8.16e-03    3.3e-04
 780000      3.78e-02      4.21e-03      1.41e-03    3.3e-04
 782000      4.79e-01      1.75e-03      2.61e-02    3.3e-04
 784000      1.19e-01      1.03e-02      5.34e-03    3.3e-04
 786000      1.05e-01      1.64e-02      3.97e-03    3.3e-04
 788000      3.12e-02      1.57e-03      1.65e-03    3.3e-04
 790000      1.13e-01      1.13e-02      5.44e-03    3.3e-04
 792000      6.30e-01      3.54e-03      3.43e-02    3.3e-04
 794000      5.95e-01      2.00e-03      3.24e-02    3.3e-04
 796000      1.62e-01      2.18e-02      4.15e-03    3.3e-04
 798000      2.62e-02      1.80e-03      1.35e-03    3.3e-04
 800000      4.70e-02      1.85e-03      2.55e-03    3.2e-04
 802000      6.80e-01      1.85e-02      3.79e-02    3.2e-04
 804000      1.74e-01      3.60e-02      2.31e-03    3.2e-04
 806000      4.71e-01      1.39e-03      2.64e-02    3.2e-04
 808000      8.56e-02      5.66e-03      4.57e-03    3.2e-04
 810000      4.99e-01      3.89e-02      2.40e-02    3.2e-04
 812000      3.55e-01      1.68e-02      1.95e-02    3.2e-04
 814000      5.61e-02      3.31e-03      3.03e-03    3.2e-04
 816000      9.02e-02      9.81e-03      4.36e-03    3.2e-04
 818000      1.05e-01      7.38e-03      5.24e-03    3.2e-04
 820000      4.50e-01      3.95e-03      2.52e-02    3.2e-04
 822000      1.51e-01      3.95e-03      8.38e-03    3.2e-04
 824000      1.81e-01      6.76e-03      9.82e-03    3.2e-04
 826000      5.40e-01      2.47e-03      3.03e-02    3.2e-04
 828000      1.03e-01      3.92e-03      5.70e-03    3.2e-04
 830000      2.07e-01      5.60e-03      1.15e-02    3.2e-04
